DATA,PM10,NO2,"PM 2,5"
2021-09-20,32.833,13.499,17.0
2021-09-21,27.375,12.405,12.0
2021-09-22,20.0,7.327,11.292
2021-09-23,29.75,8.785,13.542
2021-09-24,28.583,10.848,14.292
2021-09-25,21.875,10.355,10.833
2021-09-26,21.458,9.608,11.875
2021-09-27,25.917,14.18,16.458
2021-09-28,25.875,12.926,13.458
2021-09-29,39.292,13.918,23.875
2021-09-30,38.833,12.175,26.417
2021-10-01,37.292,12.248,21.167
2021-10-02,33.0,8.272,15.625
2021-10-03,22.042,13.321,18.042
2021-10-04,23.75,15.736,16.5
2021-10-05,18.875,9.462,12.25
2021-10-06,22.542,12.839,13.833
2021-10-07,16.708,13.892,9.917
2021-10-08,13.625,7.852,9.083
2021-10-09,25.792,10.496,14.292
2021-10-10,11.292,9.113,6.5
2021-10-11,13.292,12.472,7.0
2021-10-12,11.75,6.849,6.417
2021-10-13,15.208,12.195,8.708
2021-10-14,16.667,13.626,9.958
2021-10-15,19.208,13.617,10.5
2021-10-16,18.0,7.752,10.167
2021-10-17,18.292,6.361,9.375
2021-10-18,17.708,11.654,12.458
2021-10-19,17.25,9.479,7.542
2021-10-20,10.708,6.703,3.75
2021-10-21,13.292,10.223,5.542
2021-10-22,21.833,14.447,10.375
2021-10-23,16.208,11.601,7.042
2021-10-24,17.0,8.111,8.583
2021-10-25,15.458,13.418,8.292
2021-10-26,16.0,12.011,9.25
2021-10-27,17.083,11.813,8.542
2021-10-28,18.875,10.886,7.167
2021-10-29,17.833,12.22,9.625
2021-10-30,13.417,6.957,8.375
2021-10-31,13.125,5.784,8.667
2021-11-01,13.917,10.603,7.458
2021-11-02,20.125,11.058,9.667
2021-11-03,16.042,11.187,6.958
2021-11-04,18.208,14.241,9.0
2021-11-05,18.292,12.464,11.417
2021-11-06,16.792,9.324,10.0
2021-11-07,16.917,9.677,10.542
2021-11-08,20.125,12.108,12.667
2021-11-09,19.042,11.861,10.917
2021-11-10,15.75,9.778,10.083
2021-11-11,15.75,13.59,6.333
2021-11-12,14.833,8.355,6.167
2021-11-13,10.458,7.642,7.667
2021-11-14,13.5,10.653,9.0
2021-11-15,15.5,9.322,9.0
2021-11-16,14.375,11.439,8.833
2021-11-17,15.25,10.912,8.208
2021-11-18,14.833,11.573,8.042
2021-11-19,16.167,14.926,8.5
2021-11-20,12.458,11.336,5.75
2021-11-21,13.833,6.121,6.5
2021-11-22,13.333,8.62,8.708
2021-11-23,18.542,12.544,9.542
2021-11-24,18.167,9.198,8.708
2021-11-25,21.208,13.149,9.0
2021-11-26,19.625,12.245,8.542
2021-11-27,20.375,10.498,8.25
2021-11-28,22.75,12.078,9.333
2021-11-29,18.792,12.457,6.667
2021-11-30,19.083,10.304,7.542
2021-12-01,18.083,12.292,8.458
2021-12-02,16.875,8.736,7.417
2021-12-03,17.083,10.074,9.042
2021-12-04,16.375,11.618,10.083
2021-12-05,19.292,8.055,9.875
2021-12-06,14.75,8.666,8.75
2021-12-07,15.083,6.347,8.708
2021-12-08,15.875,6.9,9.542
2021-12-09,15.458,7.268,7.583
2021-12-10,16.292,8.647,7.417
2021-12-11,14.625,9.24,8.417
2021-12-12,14.0,8.595,9.083
2021-12-13,18.833,9.655,9.042
2021-12-14,17.542,11.08,9.375
2021-12-15,18.042,12.422,8.792
2021-12-16,18.917,10.314,9.792
2021-12-17,20.542,9.209,11.875
2021-12-18,15.667,5.511,11.167
2021-12-19,14.75,5.078,8.375
2021-12-20,16.5,7.825,10.75
2021-12-21,18.5,9.831,8.75
2021-12-22,29.625,13.938,12.708
2021-12-23,19.708,11.923,10.167
2021-12-24,16.583,6.597,10.333
2021-12-25,15.458,7.675,7.917
2021-12-26,16.083,8.505,10.5
2021-12-27,18.458,5.787,10.333
2021-12-28,15.458,6.631,8.875
2021-12-29,17.708,10.935,9.125
2021-12-30,17.333,8.876,8.917
2021-12-31,20.417,8.675,9.833
